area,path,source_url,depth,status,finding,reviewed
platforms,research/glassmorphism/raw/articles/adopting-apple-s-liquid-glass-examples-and-best-practices-logrocket-blog.md,https://blog.logrocket.com/ux-design/adopting-liquid-glass-examples-best-practices/,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/adopting-liquid-glass-apple-developer-documentation.md,https://developer.apple.com/documentation/technologyoverviews/adopting-liquid-glass,focused_deep_read,primary_selected,Relevant body and operative guidance read; preserved platform scope.,2026-09-10
engineering,research/glassmorphism/raw/articles/an-intuitive-guide-to-css-glassmorphism-dev-community.md,https://dev.to/anuraggharat651/an-intuitive-guide-to-css-glassmorphism-4id9,triage-headings-and-excerpts,usable-with-qualifications,Basic recipe and duplicate LambdaTest author text; subjective UX gains without measurements.,2026-09-10
engineering,research/glassmorphism/raw/articles/an-intuitive-guide-to-css-glassmorphism-testmu-ai-formerly-lambdatest.md,https://www.testmuai.com/blog/css-glassmorphism/,triage-headings-and-excerpts,boilerplate-or-index-heavy,Same tutorial as DEV version buried in roughly 32k words including page chrome; targeted technical extraction only.,2026-09-10
platforms,research/glassmorphism/raw/articles/apple-design-system-breakdown-with-a-copyable-design-md-2026-superdesign.md,https://superdesign.dev/blog/apple-design-system,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/apple-glass-effect-component-react-next-js-nyx-ui-library-nyx-ui.md,https://nyxui.com/components/apple-glass-effect,structured_triage,discovery_only,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/apple-introduces-a-delightful-and-elegant-new-software-design-apple.md,https://www.apple.com/newsroom/2025/06/apple-introduces-a-delightful-and-elegant-new-software-design/,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/apple-liquid-glass-the-ux-evolution-of-adaptive-interfaces.md,https://supercharge.design/blog/apple-liquid-glass-the-ux-evolution-of-adaptive-interfaces,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/apple-publishes-updated-human-interface-guidelines-for-visionos-macstories.md,https://www.macstories.net/news/apple-publishes-updated-human-interface-guidelines-for-visionos/,structured_triage,excluded_noise,"Scrape contains unrelated homepage cards, no requested article.",2026-09-10
platforms,research/glassmorphism/raw/articles/apple-s-new-design-language-is-liquid-glass-the-verge.md,https://www.theverge.com/news/682636/apple-liquid-glass-design-theme-wwdc-2025,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/apple-s-new-liquid-glass-design-practical-guidance-for-designers-designed-for-humans.md,https://designedforhumans.tech/blog/liquid-glass-smart-or-bad-for-accessibility,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/apple-updated-its-human-interface-guidelines-for-liquid-glass-pixel-envy.md,https://pxlnv.com/linklog/hig-liquid-glass/,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/apple-vision-pro-spatial-design-101-part-3-by-hajira-ux-planet.md,https://uxplanet.org/apple-vision-pro-spatial-design-101-part-3-5a0bffc3e92,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/applying-liquid-glass-to-custom-views-apple-developer-documentation.md,https://developer.apple.com/documentation/swiftui/applying-liquid-glass-to-custom-views,focused_deep_read,primary_selected,Relevant body and operative guidance read; preserved platform scope.,2026-09-10
accessibility,research/glassmorphism/raw/articles/axess-lab-glassmorphism-meets-accessibility-can-glass-be-inclusive.md,https://axesslab.com/glassmorphism-meets-accessibility-can-frosted-glass-be-inclusive/,article_body_read,article_body_read,Primary refresh corrects wrong large-text criterion link and qualifies 20px blur ceiling and transparency support.,2026-09-10
engineering,research/glassmorphism/raw/articles/backdrop-filter-blur-filters-tailwind-css.md,https://tailwindcss.com/docs/backdrop-filter-blur,targeted-technical-reading,usable-with-qualifications,Official v4 utilities; verified live mapping and custom-variable syntax. Check installed version.,2026-09-10
engineering,research/glassmorphism/raw/articles/backdrop-filter-css-property-css-mdn.md,https://developer.mozilla.org/en-US/docs/Web/CSS/Reference/Properties/backdrop-filter,targeted-deep-reading,usable-with-qualifications,Official mechanics and root list; verified live. Does not imply every SVG url filter works identically.,2026-09-10
engineering,research/glassmorphism/raw/articles/backdrop-filter-property-in-css-leads-to-choppiness-in-streaming-video-by-jt-createim-medium.md,https://medium.com/@JTCreateim/backdrop-filter-property-in-css-leads-to-choppiness-in-streaming-video-45fa83f3521b,triage-headings-and-excerpts,paywalled-preview,"Member-only preview: video choppiness hypothesis; no full article, device matrix or timing.",2026-09-10
engineering,research/glassmorphism/raw/articles/backdrop-filters-dev-community.md,https://dev.to/tolentinoel/backdrop-filters-3ec8,targeted-technical-reading,usable-with-qualifications,Intro examples of filter functions; old support warnings and group-opacity fallback unsuitable as template.,2026-09-10
design,research/glassmorphism/raw/articles/best-glassmorphism-websites-of-2026-27-examples.md,https://mycodelesswebsite.com/glassmorphism-websites/,content_triage,reviewed,Gallery of websites; visual descriptions without implementation/UX evidence.,2026-09-10
design,research/glassmorphism/raw/articles/blog-10-ui-ux-trends-that-will-shape-2026.md,https://www.orizon.co/blog/10-ui-ux-trends-that-will-shape-2026,content_triage,reviewed,Trend forecast; no measured glass result.,2026-09-10
design,research/glassmorphism/raw/articles/blog-glassmorphism-in-2026-how-to-use-frosted-glass-without-killing-ux.md,https://www.orizon.co/blog/glassmorphism-in-2026-how-to-use-frosted-glass-without-killing-ux,deep_full_available_body,reviewed,"Full playbook: role boundaries, tint, body text backing, five background extremes; two-layer cap heuristic.",2026-09-10
engineering,research/glassmorphism/raw/articles/blur-css-tricks.md,https://css-tricks.com/almanac/functions/b/blur/,targeted-technical-reading,usable-with-qualifications,Blur reference covering edge bleeding and filter distinction; examples not benchmark.,2026-09-10
platforms,research/glassmorphism/raw/articles/build-a-liquid-glass-design-system-in-swiftui-ios-26-by-sanjay-nelagadde-level-up-coding.md,https://levelup.gitconnected.com/build-a-liquid-glass-design-system-in-swiftui-ios-26-bfa62bcba5be,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
accessibility,research/glassmorphism/raw/articles/building-glass-ui-a-modern-interactive-and-accessible-react-component-library-by-khussshal-medium.md,https://khushalthepane2000.medium.com/building-glass-ui-a-modern-interactive-and-accessible-react-component-library-c2a832078f4c,article_body_read,article_body_read,Self-reported ARIA and 48 Storybook states are not audited conformance or runtime proof.,2026-09-10
engineering,research/glassmorphism/raw/articles/can-you-add-noise-to-a-css-gradient-stack-overflow.md,https://stackoverflow.com/questions/4011113/can-you-add-noise-to-a-css-gradient,targeted-technical-reading,usable-with-qualifications,"SVG turbulence recipes and comments; useful seeded/tiled grain, beware filter regions and keeping content outside filter.",2026-09-10
platforms,research/glassmorphism/raw/articles/color-apple-developer-documentation.md,https://developer.apple.com/design/human-interface-guidelines/color,focused_deep_read,primary_selected,Relevant body and operative guidance read; preserved platform scope.,2026-09-10
engineering,research/glassmorphism/raw/articles/create-os-style-backgrounds-with-backdrop-filter-articles-web-dev.md,https://web.dev/articles/backdrop-filter,targeted-deep-reading,usable-with-qualifications,Historical primary engineering introduction; useful rendering structure and fallback. Contains opacity/background-filter wording to correct against current MDN.,2026-09-10
engineering,research/glassmorphism/raw/articles/creating-glass-with-css-3-methods-styles-dev-community.md,https://dev.to/rolandixor/creating-glass-with-css-3-methods-styles-2kdm,targeted-technical-reading,usable-with-qualifications,Shadow/glow/pseudo sheen alternatives; their flat-color blur is not a backdrop substitute.,2026-09-10
design,research/glassmorphism/raw/articles/creating-glassmorphism-effect-in-figma-a-step-by-step-guide-dev-community.md,https://dev.to/bonachidera/creating-glassmorphism-effect-in-figma-a-step-by-step-guide-230h,content_triage,reviewed,Figma recipe background blur20 and shadow; unreliable shadow blur unit 40%.,2026-09-10
engineering,research/glassmorphism/raw/articles/creating-glassmorphism-effects-with-tailwind-css-epic-web-dev.md,https://www.epicweb.dev/tips/creating-glassmorphism-effects-with-tailwind-css,targeted-deep-reading,usable-with-qualifications,"Author demonstration distinguishes blur from backdrop-blur; shows fill/blur/background coupling, not validated values.",2026-09-10
engineering,research/glassmorphism/raw/articles/creating-grainy-backgrounds-with-css.md,https://ibelick.com/blog/create-grainy-backgrounds-with-css,targeted-technical-reading,usable-with-qualifications,"Useful SVG noise layer code; original lacks pointer-events none and clips wrapper, so adapt interaction safety.",2026-09-10
platforms,research/glassmorphism/raw/articles/creating-liquid-glass-effects-with-css-the-art-of-digital-transparency-by-yarinsasson-medium.md,https://yarinsa.medium.com/creating-liquid-glass-effects-with-css-the-art-of-digital-transparency-ebda92699993,structured_triage,usable_with_scope,Medium CSS source triaged; not selected over official/CSS sources.,2026-09-10
design,research/glassmorphism/raw/articles/creating-stunning-glassmorphism-effects-in-figma-a-complete-guide-by-nick-mcloota-avianu-medium.md,https://medium.com/avianu/creating-stunning-glassmorphism-effects-in-figma-a-complete-guide-002941813557,targeted_sections,reviewed,Figma full tutorial mostly read; numeric seeds and handoff; broad bans conflict with native guidance.,2026-09-10
engineering,research/glassmorphism/raw/articles/creating-stunning-glassmorphism-effects-with-css-by-codebyumar-javascript-in-plain-english.md,https://javascript.plainenglish.io/creating-stunning-glassmorphism-effects-with-css-727315781979,triage-headings-and-excerpts,paywalled-preview,Member-only preview; invented-looking adoption percentage without evidence must not enter skill.,2026-09-10
engineering,research/glassmorphism/raw/articles/css-backdrop-filter-browser-support-filters-limitations.md,https://www.testmuai.com/learning-hub/css-backdrop-filter-browser-support/,targeted-technical-reading,usable-with-qualifications,Secondary support table/limitations includes disputed opacity/drop-shadow claim; rely on spec and direct engine validation.,2026-09-10
engineering,research/glassmorphism/raw/articles/css-backdrop-filter-can-i-use-support-tables-for-html5-css3-etc.md,https://caniuse.com/css-backdrop-filter,triage-headings-and-excerpts,usable-with-qualifications,Compatibility snapshot alone is dated; no universal support or usage percentage in skill.,2026-09-10
engineering,research/glassmorphism/raw/articles/css-backdrop-filter-causing-performance-issues-issue-327-shadcn-ui-ui.md,https://github.com/shadcn-ui/ui/issues/327,targeted-deep-reading,usable-with-qualifications,"Historical shadcn issue: CSS paint problem and bigger-screen effect; flat overlay remediation. Closed as stale, not proof fixed.",2026-09-10
engineering,research/glassmorphism/raw/articles/css-backdrop-filter.md,https://www.w3schools.com/cssref/css3_pr_backdrop-filter.php,triage-headings-and-excerpts,boilerplate-or-index-heavy,Reference scrape has obsolete/non-animatable claim and lots of index chrome; not load-bearing.,2026-09-10
engineering,research/glassmorphism/raw/articles/css-blur-filter-performance-stack-overflow.md,https://stackoverflow.com/questions/31713468/css-blur-filter-performance,targeted-deep-reading,usable-with-qualifications,"First-person filter:blur FPS regression and unproven GPU tricks; explicitly limited testing, contradictory comments.",2026-09-10
engineering,research/glassmorphism/raw/articles/css-glassmorphism-background-stack-overflow.md,https://stackoverflow.com/questions/71356595/glassmorphism-background,triage-headings-and-excerpts,usable-with-qualifications,"Short generator answer; example recipe only, no legibility guarantee.",2026-09-10
accessibility,research/glassmorphism/raw/articles/css-glassmorphism-best-practices-build-accessible-frosted-glass-ui-in-2026-lifa-ai-tools-blog.md,https://lifa-su.com/blog/ai-css-glassmorphism-accessible-design.html,article_body_read,article_body_read,Reject universal alpha/performance/prefix guarantees; retain fill-first mitigation and content/chrome boundary.,2026-09-10
engineering,research/glassmorphism/raw/articles/css-glassmorphism-card-effect-codeshack.md,https://codeshack.io/css-glassmorphism-card-effect/,triage-headings-and-excerpts,usable-with-qualifications,Short basic card CSS; useful as baseline shape but no QA or new technique.,2026-09-10
engineering,research/glassmorphism/raw/articles/css-properties-backdrop-filter-there-is-no-full-support-in-safari-18-we-still-need-webkit-prefix-and-we-can-t-use-css-variables-issue-25914-mdn-browser-compat-data.md,https://github.com/mdn/browser-compat-data/issues/25914,targeted-deep-reading,usable-with-qualifications,Safari issue title is not settled fact; conflicting contributor evidence and author feature flags. Do not force literals globally.,2026-09-10
engineering,research/glassmorphism/raw/articles/dark-glassmorphism-the-aesthetic-that-will-define-ui-in-2026-by-mustbewebcode-medium.md,https://medium.com/@developer_89726/dark-glassmorphism-the-aesthetic-that-will-define-ui-in-2026-93aa4153088f,targeted-technical-reading,usable-with-qualifications,Alpha gradients and light-catcher border useful visual knobs; performance/2026 dominance unsupported.,2026-09-10
design,research/glassmorphism/raw/articles/dark-mode-glassmorphism-key-tips-for-web-designers-alpha-efficiency.md,https://alphaefficiency.com/dark-mode-glassmorphism,content_triage,reviewed,Dark-mode promotional article; eye-strain/time-on-site/battery benefits asserted.,2026-09-10
engineering,research/glassmorphism/raw/articles/day-9-create-a-glassmorphism-ui-in-tailwind-css-step-by-step-by-ruqaiya-beguwala-medium.md,https://medium.com/@ruqaiya.beguwala/day-9-create-a-glassmorphism-ui-in-tailwind-css-step-by-step-4256b577df06,triage-headings-and-excerpts,paywalled-preview,Member-only preview contains basic utility recipe only.,2026-09-10
design,research/glassmorphism/raw/articles/design-wars-glassmorphism-vs-neumorphism-vs-skeuomorphism-by-vishaka-chandak-medium.md,https://vishakachandak.medium.com/design-wars-glassmorphism-vs-neumorphism-vs-skeuomorphism-b32905c63750,content_triage,reviewed,Comparison explainer; terminology only.,2026-09-10
platforms,research/glassmorphism/raw/articles/designing-a-spatial-ui-kit-for-apple-vision-pro-a-design-system-guide-gtc-software.md,https://gtcsys.com/insights/blogs/design-system-for-spatial-ui-ux-kit-apple-vision-pro/,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/designing-custom-ui-with-liquid-glass-on-ios-26-donny-wals.md,https://www.donnywals.com/designing-custom-ui-with-liquid-glass-on-ios-26/,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/designing-for-visionos-the-complete-guide.md,https://think.design/blog/the-complete-guide-to-designing-for-visionos/,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
accessibility,research/glassmorphism/raw/articles/did-apple-abandon-its-own-design-heuristics-accessibility-principles-ux-collective.md,https://uxdesign.cc/did-apple-abandoned-its-own-design-heuristics-accessibility-principles-2d616ed7ace5,article_body_read,article_body_read,"Historical early-beta critique; no measured contrast, usability or final-release result.",2026-09-10
design,research/glassmorphism/raw/articles/discovering-and-implementing-glassmorphism-one-of-2021s-hottest-app-design-features-blog.md,https://ost.agency/blog/discovering-and-implementing-glassmorphism-one-of-2021s-hottest-app-design-features/,content_triage,reviewed,Intro/implementation article; unsupported better contrast claim.,2026-09-10
platforms,research/glassmorphism/raw/articles/diy-a-web-version-of-the-fluent-design-system-s-acrylic-material-by-joe-day-microsoft-design-medium.md,https://medium.com/microsoft-design/diy-a-web-version-the-fluent-design-systems-acrylic-material-fe2eac2a40bb,structured_triage,usable_with_scope,Historical Microsoft Design web approximation; no native contrast guarantee.,2026-09-10
platforms,research/glassmorphism/raw/articles/elevation-material-design.md,https://m2.material.io/design/environment/elevation.html,focused_deep_read,primary_selected,Relevant body and operative guidance read; preserved platform scope.,2026-09-10
engineering,research/glassmorphism/raw/articles/enhancing-my-web-portfolio-overcoming-backdrop-filter-challenges-in-safari-by-wendyteo-medium.md,https://medium.com/@wendyteo.wy/enhancing-my-web-portfolio-overcoming-backdrop-filter-challenges-in-safari-0f84aae74a83,targeted-deep-reading,usable-with-qualifications,"2024 Safari prefix debugging case, predates current support; keep browser-target qualification.",2026-09-10
accessibility,research/glassmorphism/raw/articles/ensuring-interface-legibility-and-contrast-in-visionos.md,https://www.createwithswift.com/ensuring-interface-legibility-and-contrast-in-visionos/,article_body_read_code_missing,article_body_read_code_missing,"Secondary visionOS-specific material, not Apple primary or transferable CSS behavior.",2026-09-10
design,research/glassmorphism/raw/articles/exclusive-addons.md,https://exclusiveaddons.com/glassmorphism-css-tutorial/,content_triage,reviewed,CSS walkthrough; noise and edge highlights; generic longevity claims.,2026-09-10
platforms,research/glassmorphism/raw/articles/exploring-a-new-visual-language-liquid-glass.md,https://www.createwithswift.com/exploring-a-new-visual-language-liquid-glass/,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/expressive-design-google-s-ux-research-google-design.md,https://design.google/library/expressive-material-design-google-research,focused_deep_read,primary_selected,Relevant body and operative guidance read; preserved platform scope.,2026-09-10
platforms,research/glassmorphism/raw/articles/fluent-design-system-wikipedia.md,https://en.wikipedia.org/wiki/Fluent_Design_System,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
engineering,research/glassmorphism/raw/articles/frosted-glass-effect-in-css-with-backdrop-filter.md,https://modern-css.com/frosted-glass-effect-without-opacity-hacks/,triage-headings-and-excerpts,usable-with-qualifications,Marketing comparison says safe without fallback; reject universal support claim and retained duplicated-background assumptions.,2026-09-10
platforms,research/glassmorphism/raw/articles/gaussianblur-css-only-acrylic-material-from-fluent-design-system-stack-overflow.md,https://stackoverflow.com/questions/44522299/css-only-acrylic-material-from-fluent-design-system,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/getting-clarity-on-apple-s-liquid-glass-css-tricks.md,https://css-tricks.com/getting-clarity-on-apples-liquid-glass/,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/github-conorluddy-liquidglassreference-ios-26-liquid-glass-ultimate-swift-swiftui-reference-this-is-really-just-a-document-i-can-point-claude-at-when-i-want-to-make-liquid-glass-github.md,https://github.com/conorluddy/LiquidGlassReference,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
platforms,research/glassmorphism/raw/articles/github-gonzalofuentes28-liquidglasscheatsheet-cheatsheet-on-how-to-implement-liquid-glass-on-ios-26-with-swiftui-github.md,https://github.com/GonzaloFuentes28/LiquidGlassCheatsheet,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
engineering,research/glassmorphism/raw/articles/github-itsjavi-glasscn-ui-shadcn-ui-component-library-with-glassmorphism-variants-and-many-additional-components-github.md,https://github.com/itsjavi/glasscn-ui,targeted-technical-reading,usable-with-qualifications,Community fork documents opt-in glass variant and blur prop. Repository README only; not dependency recommendation.,2026-09-10
engineering,research/glassmorphism/raw/articles/github-luanedcosta-react-tailwindcss-glassmorphism-react-tailwind-css-glassmorphism-learning-tailwind-and-glassmorphism-github.md,https://github.com/LuanEdCosta/react-tailwindcss-glassmorphism,triage-headings-and-excerpts,boilerplate-or-index-heavy,"Learning-project README, no implementation depth in scrape.",2026-09-10
platforms,research/glassmorphism/raw/articles/github-rdev-liquid-glass-react-apple-s-liquid-glass-effect-for-react-github.md,https://github.com/rdev/liquid-glass-react,structured_triage,usable_with_scope,"Metadata, headings and relevant body excerpts triaged; primary sources selected for rules.",2026-09-10
engineering,research/glassmorphism/raw/articles/glassmorphism-card-ui-with-css-coding-artist.md,https://codingartistweb.com/2021/04/glassmorphism-card-ui-with-css/,triage-headings-and-excerpts,boilerplate-or-index-heavy,Mostly site navigation and embedded tutorial/download pointer; usable source code not in capture.,2026-09-10
engineering,research/glassmorphism/raw/articles/glassmorphism-components-and-design-system-ui-design-quick-apps-in-figma-design-code.md,https://designcode.io/quick-apps-figma-glassmorphism-components/,triage-headings-and-excerpts,boilerplate-or-index-heavy,Course outline and download marketing dominate; chapter names not implementation evidence.,2026-09-10
engineering,research/glassmorphism/raw/articles/glassmorphism-css-effect-generator-glass-css.md,https://css.glass/,triage-headings-and-excerpts,usable-with-qualifications,Generator emits basic six-property CSS; output seed only.,2026-09-10
engineering,research/glassmorphism/raw/articles/glassmorphism-css-generator-squareplanet-squareplanet.md,https://hype4.academy/tools/glassmorphism-generator,triage-headings-and-excerpts,boilerplate-or-index-heavy,"Blocked/generator UI parameters, not implementation or complete origin argument.",2026-09-10
engineering,research/glassmorphism/raw/articles/glassmorphism-css-recipe-generator-examples-and-when-not-to-use-it-superdesign.md,https://superdesign.dev/styles/glassmorphism,targeted-technical-reading,usable-with-qualifications,Broad useful recipe/misuse synthesis but unsourced audits and wrong forced-colors generalization. Correct against primaries.,2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-dashboard-design-prompt-and-real-examples-superdesign.md,https://superdesign.dev/styles/glassmorphism/dashboard,content_triage,reviewed,"Generator prompt page; chrome vs opaque data surfaces useful, token and layout choices not authority.",2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-definition-and-best-practices-nn-g.md,https://www.nngroup.com/articles/glassmorphism/,deep_full_available_body,reviewed,"Full NN/g content read: opacity/background blur/strokes-gradients, contrast, variable contexts, user transparency control.",2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-design-skill-file-typeui.md,https://www.typeui.sh/design-skills/glassmorphism,content_triage,preview_or_paywall,External skill advertising/preview; explicitly excluded as authoring source.,2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-design-system-design-md-live-preview-open-design.md,https://opendesigner.io/design-systems/glassmorphism,content_triage,preview_or_paywall,External design-system preview with repeated sentence; not actual DESIGN.md; excluded as authoring source.,2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-design-system-ui-design-prompts.md,https://uidesignprompts.com/prompts/glassmorphism,targeted_sections,reviewed,"External design prompt read to evaluate quality; prescriptive serif, palette, tiers lack evidence; do not copy.",2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-guide-to-visual-hierarchy-uxmisfit-com.md,https://uxmisfit.com/2021/02/03/glassmorphism-guide-to-visual-hierarchy/,deep_full_available_body,reviewed,"Full UXMisfit hierarchy tutorial: shadow, differentiated blur/opacity, borders; unspecific values intentionally context dependent.",2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-in-2021-it-s-been-nearly-a-year-since-i-first-by-michal-malewicz-medium.md,https://michalmalewicz.medium.com/glassmorphism-in-2021-b6a8e3e8f509,deep_full_available_body,preview_or_paywall,Full available preview read; member-only truncation; only introduction and four fill types visible.,2026-09-10
engineering,research/glassmorphism/raw/articles/glassmorphism-in-tailwind-css-v4-a-practical-guide-with-copy-paste-examples-gradientdeck.md,https://gradientdeck.com/blog/glassmorphism-in-tailwind-css-v4,targeted-technical-reading,usable-with-qualifications,Useful v4 examples with stronger fill; small pill blur prose conflicts with md class. Values not contrast certification.,2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-in-user-interfaces-squareplanet.md,https://hype4.academy/articles/design/glassmorphism-in-user-interfaces,deep_full_available_body,preview_or_paywall,Full available introduction read; PRO paywall explicitly noted; no full canonical argument.,2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-the-complete-guide-to-frosted-glass-ui-design.md,https://figr.design/blog/glassmorphism-0e8b1,content_triage,reviewed,Agency complete guide; cognitive-load economics asserted without data.,2026-09-10
design,research/glassmorphism/raw/articles/glassmorphism-the-future-of-transparent-design-bootcamp.md,https://medium.com/design-bootcamp/glassmorphism-the-future-of-transparent-design-868295bcf5a3,content_triage,reviewed,Figma tutorial; inner shadow -1/-2 white25 recipe; illustrative only.,2026-09-10
accessibility,research/glassmorphism/raw/articles/glassmorphism-the-most-beautiful-trap-in-modern-ui-design-by-leigh-brown-bootcamp-medium.md,https://medium.com/design-bootcamp/glassmorphism-the-most-beautiful-trap-in-modern-ui-design-a472818a7c0a,article_body_read,article_body_read,Purposeful material use and uncontrolled backdrops useful; focus/branding/future-adaptation claims qualitative.,2026-09-10
engineering,research/glassmorphism/raw/articles/glassmorphism-tutorial-learn-how-to-implement-the-new-design-trend-using-only-html-and-css-themesberg-blog.md,https://themesberg.com/blog/glassmorphism/tutorial,triage-headings-and-excerpts,usable-with-qualifications,Simple card tutorial using alpha .7 and blur10; old compatibility prose.,2026-09-10
platforms,research/glassmorphism/raw/articles/glassmorphism-ui-in-jetpack-compose-build-stunning-frosted-glass-effects-for-android-medium.md,https://medium.com/@androidlab/glassmorphism-ui-in-jetpack-compose-build-stunning-frosted-glass-effects-for-android-d48fc2f1e919,structured_triage,preview_only,"Short promotional intro, no usable Compose implementation.",2026-09-10
